Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Reply Count
2022-02-18 23:45:48+00:00,1494820475729420290,"Booster shot 3日目💉

イブプロフェンはまだ飲んでいません
熱はなし
注射部位の腕の痛みはほぼ解消💪
倦怠感なし
ふくらはぎの筋肉痛は少しあり
関節痛なし　

ほぼ通常通りです🐣
前回のモデルナ2回目の時は
４日目まで39度台の熱が出たので
それと比較すると
わたしの場合はかなり楽でした☺️",fukiko0204,4,0,1
2022-02-18 23:45:35+00:00,1494820422096883722,"Man Shot and Killed Former University Roommate Before She Met Up with His Mother, Then Took His Own Life: Witness https://t.co/Lb0pyU2xLY",rogue_corq,0,0,0
2022-02-18 23:45:33+00:00,1494820411380736000,"@Nidaba07 No doubt the author of this puff piece is triple vaxxed.
It seems to have affected his middle ear.
To attribute the motivation for this protest to Steve Bannon and Q anon,
rather than an organic movement of kiwis in convoy
shows his ballance has been all shot to hell.",Garymor54136831,0,0,1
2022-02-18 23:45:31+00:00,1494820406263488515,"They say that most of the people catching covid now are unvaxxed. 
That’s a lie.

They’ve also said that most of the vaxxed are now able to survive the virus in a way they weren’t able to before. However, before these shots were released, over 99% of the infected survived. https://t.co/IL8fCmrYs1",AdamBOMBA5,2,2,0
2022-02-18 23:45:19+00:00,1494820355541712897,#trumpisguilty https://t.co/TMsiUojiIS,JudithW4,0,0,0
2022-02-18 23:45:15+00:00,1494820336101171203,So next time they’ll just line up the shots whenever a new virus comes up while he says himself the virus is it’s own vaccine and is faster? 🤨🥸 https://t.co/B9j2m9dKCs,RonaldSteneker,1,0,1
2022-02-18 23:45:13+00:00,1494820330950381571,@RussNic @StevePhoto5 @AZDHS It is only mild in the vaccinated,heidithewiz,1,0,1
2022-02-18 23:45:08+00:00,1494820308381048837,"NY, Justice Dept, GA, Jan. 6 committee all coming from different directions pointing to the same place  #TrumpIsGuilty",jajermo,3,1,0
2022-02-18 23:45:06+00:00,1494820298411102214,"@DrEricDing But I’m 4 months out from Moderna booster. 62 YO, type 2 diabetes and barely containing growing worry. Any thoughts on 4th shot?",NanLafferty,0,0,0
2022-02-18 23:44:53+00:00,1494820243276906497,@chickenxspag Huwag na hung ibang klaseng booster shot nalang,ErebusLetum,0,0,0
2022-02-18 23:44:24+00:00,1494820123370209283,#trumpisguilty https://t.co/UwlI7zRFky,JudithW4,1,1,0
2022-02-18 23:43:31+00:00,1494819900136828933,#CovidIsNotOver https://t.co/O3xqToBNeU,JudithW4,0,0,0
2022-02-18 23:43:01+00:00,1494819773984776192,Yup #TrumpIsGuilty,jajermo,0,0,0
2022-02-18 23:42:55+00:00,1494819749125136386,Just got my booster shot and my arms already hurting,teenwolfhuman,0,0,1
2022-02-18 23:42:32+00:00,1494819653385736193,"I did get my booster shot today finally! &amp; it was recommended that I try physical therapy soon to help with back &amp; hip pain.
Booster already has me sore &amp; fatigued though. 😴 
Tips are welcomed &amp; appreciated 💛",TheAriDee,11,0,2
2022-02-18 23:42:17+00:00,1494819590249009156,This booster shot is kicking my ass https://t.co/isJhl9w4Io,da_rILL_Nana,0,0,0
2022-02-18 23:42:08+00:00,1494819553360158722,"@theRCLblog So help me understand,  2 shots of mRNA fully vaccinated. Up to date = 2 shots &amp; boosted. Royal only asking for 2 shots.",Becky_Duffy1,1,0,3
2022-02-18 23:41:37+00:00,1494819422594338818,Finally went and got my booster shot. About damn time. Heh.,grandtheftmojo,2,0,1
2022-02-18 23:41:25+00:00,1494819371990016002,New York will not require booster shots for health care workers by Feb. 21 https://t.co/sexnPo59QW,Maddad0072,0,0,0
2022-02-18 23:41:14+00:00,1494819327396093953,"@lporiginalg Booster shot messed him up and he kept passing out, landing on his head.",CUnorthodoxx,12,0,1
2022-02-18 23:41:07+00:00,1494819298157682694,I got my booster shot today!! :),Theovenisfrozen,1,0,0
2022-02-18 23:40:27+00:00,1494819129978769408,#trumpisguilty https://t.co/6Kt6VzdUA5,JudithW4,0,0,0
2022-02-18 23:40:20+00:00,1494819100878467074,Booster shot. Wanna sleep all day,elleineramoshy,0,0,0
2022-02-18 23:40:09+00:00,1494819055470931976,i got my booster shot last night and i feel like i’ve been shot in the arm,LANDSLlDESTYLES,2,0,1
2022-02-18 23:39:18+00:00,1494818839938355208,#trumpisguilty https://t.co/lslLIn5Bnb,JudithW4,0,0,0
2022-02-18 23:38:48+00:00,1494818713299828737,"4D307 Countless Children Are Being Murdered To Make Ur Covid Vaccine Shots,Some As Old As 10 Months Old,Done By 80% of Americans.20% Dont Murder Helpless Children To Live Longer CDC,the child of TheanTichrisTUSGOV Needs As Many Kids As U Can Murder aka Abort So They Can Sell Them https://t.co/yt9GOWKQHB",RapperViper,6,2,1
2022-02-18 23:38:44+00:00,1494818697008930816,@bdawgfnn What a booster shot ?,YoSaltyy,1,0,2
